Date Time,Station,Flow
1/1/2015 0:06,S5A-P-Q,0
1/1/2015 0:08,S5A-P-Q,0
1/1/2015 0:19,S5A-P-Q,0
1/1/2015 0:25,S5A-P-Q,0
1/1/2015 0:34,S5A-P-Q,0
1/1/2015 0:50,S5A-P-Q,0
1/1/2015 0:54,S5A-P-Q,0
1/1/2015 1:19,S5A-P-Q,0
1/1/2015 1:19,S5A-P-Q,0
1/1/2015 1:19,S5A-P-Q,0
1/1/2015 1:29,S5A-P-Q,0
1/1/2015 1:44,S5A-P-Q,0
1/1/2015 2:07,S5A-P-Q,0
1/1/2015 2:19,S5A-P-Q,0
1/1/2015 2:29,S5A-P-Q,0
1/1/2015 2:37,S5A-P-Q,0
1/1/2015 2:53,S5A-P-Q,0
1/1/2015 3:08,S5A-P-Q,0
1/1/2015 3:19,S5A-P-Q,0
1/1/2015 3:33,S5A-P-Q,0
1/1/2015 3:59,S5A-P-Q,0
1/1/2015 4:11,S5A-P-Q,0
1/1/2015 4:19,S5A-P-Q,0
1/1/2015 4:24,S5A-P-Q,0
1/1/2015 4:41,S5A-P-Q,0
1/1/2015 5:11,S5A-P-Q,0
1/1/2015 5:19,S5A-P-Q,0
1/1/2015 5:38,S5A-P-Q,0
1/1/2015 6:03,S5A-P-Q,0
1/1/2015 6:19,S5A-P-Q,0
1/1/2015 6:56,S5A-P-Q,0
1/1/2015 7:19,S5A-P-Q,0
1/1/2015 7:41,S5A-P-Q,0
1/1/2015 8:19,S5A-P-Q,0
1/1/2015 8:30,S5A-P-Q,0
1/1/2015 9:16,S5A-P-Q,0
1/1/2015 9:19,S5A-P-Q,0
1/1/2015 9:19,S5A-P-Q,0
1/1/2015 9:48,S5A-P-Q,0
1/1/2015 10:19,S5A-P-Q,0
1/1/2015 10:35,S5A-P-Q,0
1/1/2015 11:19,S5A-P-Q,0
1/1/2015 11:27,S5A-P-Q,0
1/1/2015 12:15,S5A-P-Q,0
1/1/2015 12:19,S5A-P-Q,0
1/1/2015 12:55,S5A-P-Q,0
1/1/2015 13:19,S5A-P-Q,0
1/1/2015 13:46,S5A-P-Q,0
1/1/2015 13:57,S5A-P-Q,0
1/1/2015 14:19,S5A-P-Q,0
1/1/2015 14:42,S5A-P-Q,0
1/1/2015 14:48,S5A-P-Q,0
1/1/2015 15:19,S5A-P-Q,0
1/1/2015 15:29,S5A-P-Q,0
1/1/2015 16:03,S5A-P-Q,0
1/1/2015 16:14,S5A-P-Q,0
1/1/2015 16:19,S5A-P-Q,0
1/1/2015 17:03,S5A-P-Q,0
1/1/2015 17:19,S5A-P-Q,0
1/1/2015 17:19,S5A-P-Q,0
1/1/2015 17:55,S5A-P-Q,0
1/1/2015 18:19,S5A-P-Q,0
1/1/2015 18:49,S5A-P-Q,0
1/1/2015 19:19,S5A-P-Q,0
1/1/2015 19:34,S5A-P-Q,0
1/1/2015 20:19,S5A-P-Q,0
1/1/2015 20:29,S5A-P-Q,0
1/1/2015 21:03,S5A-P-Q,0
1/1/2015 21:19,S5A-P-Q,0
1/1/2015 21:19,S5A-P-Q,0
1/1/2015 21:21,S5A-P-Q,0
1/1/2015 22:18,S5A-P-Q,0
1/1/2015 22:19,S5A-P-Q,0
1/1/2015 22:38,S5A-P-Q,0
1/1/2015 23:15,S5A-P-Q,0
1/1/2015 23:19,S5A-P-Q,0
1/2/2015 0:06,S5A-P-Q,0
1/2/2015 0:19,S5A-P-Q,0
1/2/2015 1:09,S5A-P-Q,0
1/2/2015 1:19,S5A-P-Q,0
1/2/2015 1:39,S5A-P-Q,0
1/2/2015 2:02,S5A-P-Q,0
1/2/2015 2:19,S5A-P-Q,0
1/2/2015 3:12,S5A-P-Q,0
1/2/2015 3:14,S5A-P-Q,0
1/2/2015 3:19,S5A-P-Q,0
1/2/2015 4:19,S5A-P-Q,0
1/2/2015 4:19,S5A-P-Q,0
1/2/2015 4:49,S5A-P-Q,0
1/2/2015 5:19,S5A-P-Q,0
1/2/2015 5:50,S5A-P-Q,0
1/2/2015 5:59,S5A-P-Q,0
1/2/2015 6:09,S5A-P-Q,0
1/2/2015 6:10,S5A-P-Q,479.98
1/2/2015 6:11,S5A-P-Q,479.47
1/2/2015 6:11,S5A-P-Q,479.47
1/2/2015 6:12,S5A-P-Q,477.96
1/2/2015 6:13,S5A-P-Q,475.3
1/2/2015 6:15,S5A-P-Q,476.65
1/2/2015 6:15,S5A-P-Q,476.52
1/2/2015 6:17,S5A-P-Q,474.89
1/2/2015 6:19,S5A-P-Q,474.23
1/2/2015 6:23,S5A-P-Q,471.11
1/2/2015 6:24,S5A-P-Q,814.43
1/2/2015 6:25,S5A-P-Q,840.72
1/2/2015 6:25,S5A-P-Q,841.39
1/2/2015 6:25,S5A-P-Q,849.73
1/2/2015 6:26,S5A-P-Q,871.23
1/2/2015 6:27,S5A-P-Q,870.78
1/2/2015 6:28,S5A-P-Q,870.16
1/2/2015 6:29,S5A-P-Q,870.36
1/2/2015 6:29,S5A-P-Q,870.4
1/2/2015 6:31,S5A-P-Q,869.95
1/2/2015 6:32,S5A-P-Q,869.85
1/2/2015 6:35,S5A-P-Q,869.13
1/2/2015 6:39,S5A-P-Q,868.01
1/2/2015 6:42,S5A-P-Q,867.36
1/2/2015 6:44,S5A-P-Q,866.75
1/2/2015 6:51,S5A-P-Q,865.43
1/2/2015 6:55,S5A-P-Q,864.49
1/2/2015 6:59,S5A-P-Q,863.38
1/2/2015 7:00,S5A-P-Q,863.33
1/2/2015 7:05,S5A-P-Q,862.08
1/2/2015 7:10,S5A-P-Q,860.73
1/2/2015 7:11,S5A-P-Q,860.62
1/2/2015 7:13,S5A-P-Q,859.64
1/2/2015 7:16,S5A-P-Q,858.89
1/2/2015 7:19,S5A-P-Q,858.21
1/2/2015 7:19,S5A-P-Q,858.11
1/2/2015 7:21,S5A-P-Q,857.72
1/2/2015 7:24,S5A-P-Q,857.15
1/2/2015 7:28,S5A-P-Q,856.39
1/2/2015 7:30,S5A-P-Q,856.05
1/2/2015 7:34,S5A-P-Q,855.41
1/2/2015 7:40,S5A-P-Q,854.47
1/2/2015 7:40,S5A-P-Q,854.36
1/2/2015 7:47,S5A-P-Q,853.53
1/2/2015 7:54,S5A-P-Q,852.8
1/2/2015 8:01,S5A-P-Q,852.21
1/2/2015 8:05,S5A-P-Q,851.54
1/2/2015 8:19,S5A-P-Q,850.51
1/2/2015 8:20,S5A-P-Q,850.37
1/2/2015 8:26,S5A-P-Q,849.99
1/2/2015 8:27,S5A-P-Q,849.93
1/2/2015 8:34,S5A-P-Q,849.66
1/2/2015 8:47,S5A-P-Q,849.46
1/2/2015 8:48,S5A-P-Q,849.4
1/2/2015 8:53,S5A-P-Q,849.17
1/2/2015 9:02,S5A-P-Q,848.92
1/2/2015 9:15,S5A-P-Q,848.89
1/2/2015 9:19,S5A-P-Q,848.86
1/2/2015 9:20,S5A-P-Q,848.72
1/2/2015 9:24,S5A-P-Q,848.18
1/2/2015 9:28,S5A-P-Q,847.79
1/2/2015 9:32,S5A-P-Q,847.31
1/2/2015 9:39,S5A-P-Q,846.52
1/2/2015 9:40,S5A-P-Q,846.35
1/2/2015 9:49,S5A-P-Q,845.54
1/2/2015 9:51,S5A-P-Q,845.32
1/2/2015 9:57,S5A-P-Q,844.71
1/2/2015 10:03,S5A-P-Q,844.25
1/2/2015 10:13,S5A-P-Q,843.45
1/2/2015 10:15,S5A-P-Q,843.31
1/2/2015 10:19,S5A-P-Q,842.9
1/2/2015 10:23,S5A-P-Q,842.79
1/2/2015 10:30,S5A-P-Q,842.62
1/2/2015 10:34,S5A-P-Q,842.53
1/2/2015 10:43,S5A-P-Q,842.31
1/2/2015 10:48,S5A-P-Q,842.15
1/2/2015 10:51,S5A-P-Q,842.03
1/2/2015 11:01,S5A-P-Q,841.64
1/2/2015 11:02,S5A-P-Q,841.6
1/2/2015 11:10,S5A-P-Q,841.56
1/2/2015 11:19,S5A-P-Q,841.49
1/2/2015 11:19,S5A-P-Q,841.49
1/2/2015 11:20,S5A-P-Q,841.39
1/2/2015 11:29,S5A-P-Q,840.79
1/2/2015 11:29,S5A-P-Q,840.78
1/2/2015 11:37,S5A-P-Q,840.08
1/2/2015 11:46,S5A-P-Q,839.3
1/2/2015 11:47,S5A-P-Q,839.21
1/2/2015 11:58,S5A-P-Q,838.26
1/2/2015 11:58,S5A-P-Q,838.22
1/2/2015 12:09,S5A-P-Q,837.2
1/2/2015 12:14,S5A-P-Q,836.79
1/2/2015 12:19,S5A-P-Q,836.37
1/2/2015 12:20,S5A-P-Q,836.3
1/2/2015 12:30,S5A-P-Q,835.92
1/2/2015 12:32,S5A-P-Q,835.88
1/2/2015 12:40,S5A-P-Q,835.54
1/2/2015 12:43,S5A-P-Q,835.41
1/2/2015 12:50,S5A-P-Q,835.12
1/2/2015 12:57,S5A-P-Q,834.81
1/2/2015 13:00,S5A-P-Q,834.68
1/2/2015 13:12,S5A-P-Q,833.84
1/2/2015 13:12,S5A-P-Q,833.84
1/2/2015 13:13,S5A-P-Q,834.25
1/2/2015 13:19,S5A-P-Q,833.9
1/2/2015 13:22,S5A-P-Q,833.65
1/2/2015 13:28,S5A-P-Q,833.36
1/2/2015 13:31,S5A-P-Q,833.13
1/2/2015 13:41,S5A-P-Q,832.59
1/2/2015 13:52,S5A-P-Q,831.96
1/2/2015 13:52,S5A-P-Q,831.91
1/2/2015 14:04,S5A-P-Q,831.39
1/2/2015 14:10,S5A-P-Q,830.97
1/2/2015 14:12,S5A-P-Q,830.81
1/2/2015 14:19,S5A-P-Q,830.42
1/2/2015 14:23,S5A-P-Q,830.2
1/2/2015 14:34,S5A-P-Q,829.55
1/2/2015 14:35,S5A-P-Q,829.53
1/2/2015 14:43,S5A-P-Q,828.87
1/2/2015 14:51,S5A-P-Q,828.14
1/2/2015 14:56,S5A-P-Q,827.75
1/2/2015 15:03,S5A-P-Q,827.31
1/2/2015 15:15,S5A-P-Q,826.7
1/2/2015 15:19,S5A-P-Q,826.4
1/2/2015 15:22,S5A-P-Q,826.02
1/2/2015 15:24,S5A-P-Q,825.88
1/2/2015 15:37,S5A-P-Q,825.16
1/2/2015 15:46,S5A-P-Q,824.3
1/2/2015 15:48,S5A-P-Q,824.16
1/2/2015 16:00,S5A-P-Q,823.36
1/2/2015 16:08,S5A-P-Q,822.69
1/2/2015 16:09,S5A-P-Q,822.62
1/2/2015 16:19,S5A-P-Q,822.03
1/2/2015 16:20,S5A-P-Q,821.92
1/2/2015 16:33,S5A-P-Q,821.25
1/2/2015 16:40,S5A-P-Q,820.56
1/2/2015 16:42,S5A-P-Q,820.42
1/2/2015 16:52,S5A-P-Q,819.68
1/2/2015 17:04,S5A-P-Q,819.02
1/2/2015 17:06,S5A-P-Q,818.88
1/2/2015 17:18,S5A-P-Q,818.23
1/2/2015 17:19,S5A-P-Q,818.23
1/2/2015 17:28,S5A-P-Q,817.46
1/2/2015 17:41,S5A-P-Q,816.66
1/2/2015 17:41,S5A-P-Q,816.64
1/2/2015 17:53,S5A-P-Q,817.45
1/2/2015 17:54,S5A-P-Q,817.87
1/2/2015 17:55,S5A-P-Q,456.85
1/2/2015 17:56,S5A-P-Q,338.53
1/2/2015 17:56,S5A-P-Q,338.72
1/2/2015 17:57,S5A-P-Q,337.09
1/2/2015 17:58,S5A-P-Q,337.65
1/2/2015 17:58,S5A-P-Q,340.94
1/2/2015 17:59,S5A-P-Q,341.85
1/2/2015 18:00,S5A-P-Q,0
1/2/2015 18:00,S5A-P-Q,0
1/2/2015 18:00,S5A-P-Q,0
1/2/2015 18:01,S5A-P-Q,0
1/2/2015 18:01,S5A-P-Q,0
1/2/2015 18:03,S5A-P-Q,0
1/2/2015 18:05,S5A-P-Q,0
1/2/2015 18:10,S5A-P-Q,0
1/2/2015 18:15,S5A-P-Q,0
1/2/2015 18:18,S5A-P-Q,0
1/2/2015 18:19,S5A-P-Q,0
1/2/2015 18:27,S5A-P-Q,0
1/2/2015 18:31,S5A-P-Q,0
1/2/2015 18:34,S5A-P-Q,0
1/2/2015 18:37,S5A-P-Q,0
1/2/2015 18:47,S5A-P-Q,0
1/2/2015 18:57,S5A-P-Q,0
1/2/2015 18:58,S5A-P-Q,0
1/2/2015 19:00,S5A-P-Q,0
1/2/2015 19:02,S5A-P-Q,0
1/2/2015 19:06,S5A-P-Q,0
1/2/2015 19:06,S5A-P-Q,0
1/2/2015 19:09,S5A-P-Q,0
1/2/2015 19:15,S5A-P-Q,0
1/2/2015 19:19,S5A-P-Q,0
1/2/2015 19:25,S5A-P-Q,0
1/2/2015 19:34,S5A-P-Q,0
1/2/2015 19:43,S5A-P-Q,0
1/2/2015 19:54,S5A-P-Q,0
1/2/2015 20:04,S5A-P-Q,0
1/2/2015 20:05,S5A-P-Q,0
1/2/2015 20:09,S5A-P-Q,0
1/2/2015 20:17,S5A-P-Q,0
1/2/2015 20:19,S5A-P-Q,0
1/2/2015 20:29,S5A-P-Q,0
1/2/2015 20:40,S5A-P-Q,0
1/2/2015 20:41,S5A-P-Q,0
1/2/2015 20:49,S5A-P-Q,0
1/2/2015 20:57,S5A-P-Q,0
1/2/2015 21:07,S5A-P-Q,0
1/2/2015 21:09,S5A-P-Q,0
1/2/2015 21:15,S5A-P-Q,0
1/2/2015 21:16,S5A-P-Q,0
1/2/2015 21:19,S5A-P-Q,0
1/2/2015 21:26,S5A-P-Q,0
1/2/2015 21:37,S5A-P-Q,0
1/2/2015 21:38,S5A-P-Q,0
1/2/2015 21:43,S5A-P-Q,0
